order_date|time_slot|item|general_type|pack_size|quantity_uom|price
7132018|5-Apr|Reddi Wip Dairy Whipped Topping Original 13 oz.|whipped_cream|13 oz.|1 × $3.88|$3.88 
7132018|5-Apr|"Great Value Sunflower Oil, 1 Gal"|sf_cooking_oil|1 gal|1 × $11.88|$11.88 
7132018|5-Apr|"Kellogg's Eggo Nutri-Grain Whole Wheat Waffles, 24.6 OZ"|waffles||1 × $4.88|$4.88 
7132018|5-Apr|"Cilantro, 1 Bunch"|cilantro|1 Bunch|1 × $0.88|$0.88 
7132018|5-Apr|Suave Kids Body Wash Tear Free Free and Gentle 12 oz|kids_wash||1 × $1.88|$1.88 
7132018|5-Apr|Seventh Generation Dish Liquid Soap Clementine Zest & Lemongrass 25 oz|dish_wash||1 × $2.97|$2.97 
7132018|5-Apr|Coffee-mate Coffee Creamer Sugar Free Italian Sweet Creme Liquid Coffee Creamer 32 fl. oz.|coffee_creamer|32 fl. Oz.|1 × $3.18|$3.18 
7132018|5-Apr|GoGo Squeez Fruit & Veggiez Fruit & Veggies On The Go Pedal Pedal Peach - 4 CT|fruit_pouch||2 × $2.78|$5.56 
7132018|5-Apr|"Spinach, 16 oz"|spinach||1 × $2.94|$2.94 
7132018|5-Apr|"Sweet Italian Red Onions, 2 lbs"|onions||2 × $2.54|$5.08 
7132018|5-Apr|"Great Value Organic 2% Milk, 1 gallon"|milk|1 gal|2 × $5.68|$11.36 
7132018|5-Apr|"Great Value Syrup, Sugar Free, 24 fl oz"|pancake_syrup||1 × $1.98|$1.98 
7132018|5-Apr|"Kellogg's Eggo Thick & Fluffy Original Recipe Waffles Family Pack, 12 Count, 23.2 oz"|waffles|12 Count|1 × $4.88|$4.88 
7132018|5-Apr|"Marketside Cage Free Large Grade A Brown Eggs, 18 ct"|eggs||1 × $4.34|$4.34 
7132018|5-Apr|"Strawberries, 1lb"|strawberries||1 × $1.97|$1.97 
7132018|5-Apr|"Quaker Old Fashioned Oats, 42 oz Canister"|oats||1 × $3.98|$3.98 
7132018|5-Apr|Charmin Ultra Strong Toilet Paper 12 Mega Rolls|toilet_paper||1 × $12.47|$12.47 
7132018|5-Apr|"Lime-A-Way Bathroom Cleaner, 22oz Bottle, Removes Lime Calcium Rust"|bathroom_cleaner||1 × $3.98|$3.98 
7132018|5-Apr|"Green Beans, per lb"|beans||0.87 × $1.78|$1.54 
7182018|7-Jun|"Roma Tomatoes, each"|tomatoes||2.51 lb × $0.89 / lb|$2.23 
7182018|7-Jun|"Green Bell Pepper, each"|bell_pepper||Lower price!2 × $0.59|$1.18 
7182018|7-Jun|"Cauliflower, each"|cauliflower||1 × $2.97|$2.97 
7182018|7-Jun|"Cilantro, 1 Bunch"|cilantro||1 × $0.88|$0.88 
7182018|7-Jun|Rhodes Bake-N-Serv® Yeast Dinner Rolls 36 ct Bag|dinner_rolls||1 × $3.88|$3.88 
7182018|7-Jun|"Horizon Organic Whole Milk, 0.5 gal"|milk|0.5 gal|1 × $4.46|$4.46 
7182018|7-Jun|"Great Value Organic 2% Milk, 1 gallon"|milk|1 gal|1 × $5.68|$5.68 
7182018|7-Jun|"Nature's Own 100% Whole Wheat Bread, 20 oz"|bread||1 × $2.68|$2.68 
7182018|7-Jun|"Community Coffee Medium Roast Ground Coffee, Breakfast Blend, 32 Oz"|coffee||1 × $12.98|$12.98 
7182018|7-Jun|"Aleve Easy Open Arthritis Cap Pain Reliever/Fever Reducer Naproxen Sodium Caplets, 220 mg, 100 Ct"|pain_killer||1 × $9.44|$9.44 
7182018|7-Jun|"Blueberries, 24 oz Clamshell"|blueberries||1 × $5.94|$5.94 
7182018|7-Jun|"Great Value Pitted Dates, 8 oz"|dates||1 × $2.88|$2.88 
7182018|7-Jun|Segundo Romance|potatoes||0.77 × $0.98|$0.75 
7282018|3-Feb|"Roma Tomatoes, each"|tomatoes||2.37 lb × $1.28 / lb|$3.03 
7282018|3-Feb|"Royal Basmati Rice, 2 lbs"|rice||1 × $4.24|$4.24 
7282018|3-Feb|"Spinach, 16 oz"|spinach||1 × $2.94|$2.94 
7282018|3-Feb|"Marketside Organic Cage Free Large Grade A Brown Eggs, 18 ct"|eggs||1 × $5.74|$5.74 
7282018|3-Feb|"Cauliflower, each"|cauliflower||1 × $2.97|$2.97 
7282018|3-Feb|"Cilantro, 1 Bunch"|cilantro||1 × $0.88|$0.88 
7282018|3-Feb|"Great Value Automatic Dishwasher Pacs, Fresh Scent, 32 Count"|dish_wash||1 × $4.47|$4.47 
7282018|3-Feb|"Fisher Chef's Naturals Natural Sliced Almonds, 16 oz"|almonds||1 × $8.24|$8.24 
7282018|3-Feb|"Olay Age Defying Classic Facial Cleanser, 6.78 fl oz"|face_wash||1 × $4.67|$4.67 
7282018|3-Feb|"Crest Kid's Cavity Protection Toothpaste for Kids (children and toddlers 2+), Sparkle Fun Flavor, 2.7 ounces"|kids_toothpaste||1 × $0.98|$0.98 
7282018|3-Feb|"Crest Pro-Health Advanced Gum Protection Toothpaste, 5.1 Oz"|toothpaste||1 × $3.92|$3.92 
7282018|3-Feb|Aspercreme Maximum Strength Lidocaine Pain Relieving Creme|pain_killer||1 × $6.48|$6.48 
7282018|3-Feb|"Hot Shot Clean Fresh Scent Flying Insect Killer, 15-Ounce"|insect_killer||1 × $2.93|$2.93 
7282018|3-Feb|"Great Value Sweet Peas, 12 oz"|peas||1 × $0.84|$0.84 
7282018|3-Feb|"Great Value Organic 2% Milk, 1 gallon"|milk|1 gal|1 × $5.68|$5.68 
7282018|3-Feb|"Strawberries, 1lb"|strawberries||1 × $2.27|$2.27 
7282018|3-Feb|"Horizon Organic Whole Milk, 0.5 gal"|milk|0.5 gal|1 × $4.46|$4.46 
7282018|3-Feb|"Sweet Italian Red Onions, 2 lbs"|onions||2 × $2.54|$5.08 
7282018|3-Feb|"Scotch-Brite Stainless Steel Scrubbing Pads, 3 Pack"|dish_scrub||1 × $1.93|$1.93 
8032018|8-Jul|"Roma Tomatoes, each"|tomatoes||1.23 lb × $1.28 / lb|$1.57 
8032018|8-Jul|"Green Bell Pepper, each"|bell_pepper||2 × $0.88|$1.76 
8032018|8-Jul|"Spinach, 16 oz"|spinach||1 × $2.94|$2.94 
8032018|8-Jul|"Blueberries, 24 oz Clamshell"|blueberries||1 × $5.94|$5.94 
8032018|8-Jul|"Sweet Italian Red Onions, 2 lbs"|onions||2 × $2.54|$5.08 
8032018|8-Jul|"Organic Red Potatoes, 3 lbs"|potatoes||1 × $4.96|$4.96 
8032018|8-Jul|"Crest Pro-Health Advanced Alcohol Free Extra Deep Clean Mouthwash, 1 L"|mouthwash||1 × $5.97|$5.97 
8032018|8-Jul|"Febreze Unstopables FRESH Air Freshener (1 Count, 250 g)"|airfreshner||1 × $3.97|$3.97 
8032018|8-Jul|"Fisher Chef's Naturals Walnut Halves & Pieces, 16 oz"|walnut||1 × $7.34|$7.34 
8032018|8-Jul|"Bush's Garbanzos, 16 Oz"|chickpeas||2 × $0.92|$1.84 
8032018|8-Jul|"Kelley's Texas Country Style Pure Honey, 24 oz"|honey||1 × $6.94|$6.94 
8032018|8-Jul|"Great Value Organic 2% Milk, 1 gallon"|milk|1 gal|2 × $5.68|$11.36 
8032018|8-Jul|Coffee-mate Coffee Creamer Sugar Free Italian Sweet Creme Liquid Coffee Creamer 32 fl. oz.|coffee_creamer|32 fl. Oz.|1 × $3.18|$3.18 
8032018|8-Jul|"Nature's Own 100% Whole Wheat Bread, 20 oz"|bread||1 × $2.68|$2.68 
8032018|8-Jul|"Great Value Iodized Salt, 26 oz"|salt||1 × $0.54|$0.54 
8032018|8-Jul|"Ginger Root, 1 lb"|ginger||0.72 × $3.98|$2.86 
8102018|5-Apr|"Organic Bananas, bunch"|bananas||2.37 lb × $0.68 / lb|$1.61 
8102018|5-Apr|"Roma Tomatoes, each"|tomatoes||0.97 lb × $1.28 / lb|$1.24 
